Minisector,ALO,GAS,Fastest
0,268.8880529741497,258.5429188075924,ALO
1,134.90745638722973,133.0963838836227,ALO
2,194.4936299845695,200.5995150311111,GAS
3,244.33248270534799,246.65267826622573,GAS
4,259.69479077528746,255.47272548923078,ALO
5,178.80554473870825,173.4961204979183,ALO
6,147.74691929816797,146.3450550749912,ALO
7,178.83154474065958,184.99137625912633,GAS
8,98.6298882333448,101.172779348065,GAS
9,74.60279587870582,73.10639523969125,ALO
10,89.91537950316759,96.28827992509663,GAS
11,174.844750974683,188.18498439944017,GAS
12,242.48221240334777,245.5160004395238,GAS
13,266.4530619820408,269.20658908542123,GAS
14,276.59847626779316,271.3560545644685,ALO
15,117.07487753267672,100.67321458079473,ALO
16,145.02427779446342,152.66459616011073,GAS
17,180.49478121142857,183.4345375801443,GAS
18,196.89294009481483,198.54229060113596,GAS
19,218.33466942201431,196.0981313845359,ALO
20,134.24842773705927,136.0097350888889,GAS
21,108.99966608809987,106.05077859211136,ALO
22,93.67173636662358,104.12198703923897,GAS
23,196.27677742010357,201.7406481280726,GAS
24,249.01159464313528,251.49846385930158,GAS
25,263.3812464,,ALO
