Minisector,VER,HAM,Fastest
0,277.5088783352092,281.21194968426755,HAM
1,241.8477544291957,237.0558426376534,VER
2,264.80592553823317,264.00688666929295,VER
3,281.3579649008158,283.1936427216981,HAM
4,133.67244795003026,132.6794031506287,VER
5,211.9795670662673,206.072412234996,VER
6,268.31837621179517,265.7150377784461,VER
7,287.6472222222222,289.15241663813663,HAM
8,296.28850768829705,299.7448007219108,HAM
9,298.52369707779656,304.6748660182217,HAM
10,280.05392156862746,286.07407455720386,HAM
11,106.19464345083912,101.58043251648996,VER
12,223.24342251838561,220.3501180495366,VER
13,268.8189567997484,270.60581788100393,HAM
14,268.98267649122806,274.75712081699885,HAM
15,135.28784441654886,136.13089643932256,HAM
16,209.6988365305663,202.52357944887157,VER
17,257.631071711443,254.95150093075006,VER
18,257.5799420338555,256.6120175694709,VER
19,246.08893182288588,243.53859554561603,VER
20,154.59263135537128,151.888479686418,VER
21,198.47707131271633,193.30334248774832,VER
22,178.82554877583055,164.82573257048412,VER
23,195.7765801953674,188.61652171612675,VER
24,251.12575314666137,250.20385375340615,VER
25,268.46024980907094,,VER
