Minisector,OCO,RIC,Fastest
0,293.07321443809525,307.482579754946,RIC
1,237.6620269429277,232.31435062003712,OCO
2,190.54138484174118,188.95702558186474,OCO
3,260.5193444227032,261.86992020172653,RIC
4,222.61767737081593,215.16136909593632,OCO
5,111.05448351599968,106.54529611170781,OCO
6,164.5788068222794,171.90514213230827,RIC
7,258.629098557594,253.69165606040792,OCO
8,286.11580914034613,291.69219449034017,RIC
9,302.3854310509317,316.3316251151515,RIC
10,304.35733893657726,325.3626165129149,RIC
11,221.6180921397311,200.3041800635723,OCO
12,134.58884494307765,142.7597048621554,RIC
13,251.2875095113721,253.73616532169746,RIC
14,287.94460787758044,290.87000777142856,RIC
15,298.80795456969696,302.5479373902065,RIC
16,291.3098209406922,298.9962778970826,RIC
17,248.13863354638448,239.34262030994208,OCO
18,178.441793803275,169.12118292460184,OCO
19,173.56150407425636,165.8195547816104,OCO
20,173.04837450334938,183.36891709213603,RIC
21,239.25566645280665,230.70799617142856,OCO
22,117.11640753560583,107.27037484800734,OCO
23,197.9700345510697,207.8007936738889,RIC
24,274.0934866305427,284.0072252226599,RIC
25,286.0,,OCO
