Minisector,RAI,MAG,Fastest
0,277.2045580603281,276.9647105679467,RAI
1,294.53183153470513,299.71927909028165,MAG
2,294.36285331833363,292.4971560804233,RAI
3,179.71183566920502,172.94493301889386,RAI
4,119.94189448073466,111.90174031681676,RAI
5,238.8963273119702,235.45972421899867,RAI
6,283.7657671776743,288.9947544827361,MAG
7,297.8082211962497,305.7807533206349,MAG
8,169.57514548249972,159.2795010123683,RAI
9,136.97699393821088,132.13107676779057,RAI
10,252.70012104738007,248.92660253132271,RAI
11,289.3753323577253,286.9283066960479,RAI
12,302.1140916201771,295.7375847057107,RAI
13,283.65123246304887,264.11068408072344,RAI
14,302.1896693987062,292.7643682787902,RAI
15,305.7066790202212,300.26939566646837,RAI
16,252.36918202888305,227.6127010625421,RAI
17,218.3110356800671,212.02121294914826,RAI
18,282.9621309333183,281.3024926829815,RAI
19,311.16469048399887,311.37392337184576,MAG
20,319.3042039458825,321.3272545180387,MAG
21,232.50989237901604,216.4392411263361,RAI
22,262.22683597547604,255.46838727096926,RAI
23,139.16612976642836,129.70155840712528,RAI
24,209.39129031197567,207.75961417780275,RAI
25,256.7666645333333,,RAI
