Minisector,SAI,ALB,Fastest
0,317.5637437154346,317.3047548816126,SAI
1,326.00904966469506,326.74656249,ALB
2,321.83153778442147,323.9220110771581,ALB
3,184.17600921255888,183.82618907283833,SAI
4,125.8892529988628,123.55029852650529,SAI
5,261.59980368501596,265.9105188767273,ALB
6,298.62520737501507,296.36848608987015,SAI
7,312.49854831918975,314.3695370745679,ALB
8,268.1770744383261,256.9460327122689,SAI
9,139.31340684357752,141.62321595019299,ALB
10,209.55782793224708,199.64736044519142,SAI
11,209.75003486452894,210.75635951866025,ALB
12,193.6940788943653,187.4094734043369,SAI
13,265.25033835326644,266.8845523160494,ALB
14,300.8386540836458,301.58290825094707,ALB
15,312.30024986983653,312.6912321721905,ALB
16,256.4276986107137,249.61196710828565,SAI
17,211.04163897072078,206.86526111501735,SAI
18,270.9847263232778,271.3881957950296,ALB
19,304.9638447895739,305.25758770982964,ALB
20,315.57901158466467,320.5571428571428,ALB
21,296.62425736630087,278.92543000530543,SAI
22,204.1284517960189,198.7240784682422,SAI
23,264.51435137186456,263.38818931936004,SAI
24,301.05511586279374,300.7756348952381,SAI
