Minisector,MAG,OCO,Fastest
0,291.43019437654226,290.98906213333333,MAG
1,300.78584017914534,301.72662856666665,OCO
2,165.5745804619355,158.4149164001242,MAG
3,222.82906136000003,222.0687136721885,MAG
4,274.5427187639266,276.6271941904762,OCO
5,294.15426751681895,296.69886087316917,OCO
6,302.9139136,305.3466145333333,OCO
7,165.24022372708734,178.24098388338882,OCO
8,129.63273639619047,124.19762391487765,MAG
9,249.65980807974069,249.79800908935502,OCO
10,284.5455876392157,285.60499996444446,OCO
11,297.18125053333335,297.90026033333334,OCO
12,149.40901238666666,150.91850652687057,OCO
13,193.8771727304348,189.89719181180476,MAG
14,261.11025602242006,260.6357445427984,MAG
15,200.10625168888888,194.66284791111113,MAG
16,217.98542014387618,217.34598110838652,MAG
17,217.748836987013,208.02424281212123,MAG
18,242.18700924684077,240.7701945939022,MAG
19,275.8234369333333,274.6416665098039,MAG
20,293.78307259999997,292.34834447619045,MAG
21,252.7355580952381,255.79396956087314,OCO
22,217.88949266776984,218.54394007272728,OCO
23,200.6191058174553,201.64015132121213,OCO
24,266.6592404430237,266.45341702147357,MAG
25,282.1666666666667,,MAG
