Minisector,ALB,ALO,Fastest
0,317.3047548816126,318.83279565343884,ALO
1,326.74656249,329.09509175071014,ALO
2,323.9220110771581,331.86310722742854,ALO
3,183.82618907283833,190.5632930314869,ALO
4,121.5604892399591,105.41093719546203,ALB
5,264.4559139235303,263.2609557148361,ALB
6,296.36848608987015,299.32659853494766,ALO
7,314.3695370745679,314.80742627361343,ALO
8,267.0145283104372,274.47369172554926,ALO
9,139.77538922266913,136.30405178031032,ALB
10,202.28099255565175,213.12334013793102,ALO
11,207.9724547090039,201.18281175237942,ALB
12,188.19154771597402,184.56185442223486,ALB
13,265.35691650133333,265.9355594109091,ALO
14,299.86716206049095,301.60488857790324,ALO
15,312.63712589351474,315.4015418219302,ALO
16,256.53952949335394,255.29721415608466,ALB
17,203.22734944550064,203.28238995286947,ALO
18,269.60550348733733,271.12358186949746,ALO
19,303.7992188706151,305.0285516150466,ALO
20,319.74010025062654,319.97186834285714,ALO
21,287.91294955100113,301.66152569784737,ALO
22,196.6006409682422,197.1781064215873,ALO
23,260.1612193340837,258.01418031177144,ALB
24,299.5597979520923,299.3135311815956,ALB
25,311.74166613333335,311.45999872,ALB
