Minisector,STR,OCO,Fastest
0,290.46477019083926,292.8197994880576,OCO
1,298.74204541090904,304.0668686847619,OCO
2,303.4564979326984,309.8550068614617,OCO
3,295.1833035009702,304.51173197714286,OCO
4,159.91549311731137,163.64271688754434,OCO
5,208.62309530257863,197.64776819129392,STR
6,236.63583284977776,233.54260680709203,STR
7,262.24208301087947,265.7172895154765,OCO
8,247.25906100538037,253.15884588188064,OCO
9,157.21354401391758,157.6709606805375,OCO
10,224.11091690946913,218.45226975933747,STR
11,125.34333884937386,122.84650028765229,STR
12,224.0210658725898,222.24791457289376,STR
13,171.7236897582631,178.40244130674213,OCO
14,216.6477477179209,206.66025594433017,STR
15,238.0077886002886,238.67492968243693,OCO
16,258.6229023670387,261.81359594720135,OCO
17,281.26463583386317,283.011434957037,OCO
18,149.80381819864965,158.79221312790122,OCO
19,160.27320310379025,159.40950659407872,STR
20,137.02613310484273,133.2597181169944,STR
21,224.11849884997383,225.85537048728744,OCO
22,261.04306613494043,263.80629391056203,OCO
23,250.14970332577477,246.3729435008966,STR
24,272.74003378666015,272.8024750556863,OCO
25,,285.24999893333336,OCO
