Minisector,NOR,HUL,Fastest
0,234.27757920743232,228.78745317325107,NOR
1,282.0591666550725,278.73279904022075,NOR
2,295.738664619819,294.06785846219077,NOR
3,302.16421167424005,303.1010629688766,HUL
4,264.57741205770617,269.0645189271183,HUL
5,168.13621551161614,163.51382574361293,NOR
6,262.1626753513569,257.28674744088653,NOR
7,279.564040426678,278.6141305507246,NOR
8,212.05127035775268,218.75891587363873,HUL
9,220.9239942783839,212.61713548045498,NOR
10,177.5366772561569,188.59975699607787,HUL
11,222.85462945430706,212.9515075456731,NOR
12,200.25533708944985,208.29142099937727,HUL
13,209.44535366784714,216.03752856112538,HUL
14,222.8891716482421,212.42244615936184,NOR
15,177.36475643341217,179.71105280109623,HUL
16,248.7775786102393,238.11118351427416,NOR
17,284.06475999751603,281.2068136338563,NOR
18,296.454921095857,298.5620316131423,HUL
19,291.3325446130671,302.6863096888889,HUL
20,129.23131170500923,133.74692168675296,HUL
21,157.6339293088127,166.81738884254403,HUL
22,149.22747372430447,140.5341809205083,NOR
23,206.32576574996966,216.0360037464696,HUL
24,143.1883647211016,143.1018375043551,NOR
25,186.64017120932652,173.70416426666668,NOR
