Minisector,HAM,VER,Fastest
0,290.788278071973,289.4844830347397,HAM
1,164.66110827313636,158.44470148190476,HAM
2,152.82435318993228,151.946348965614,HAM
3,227.14444448395062,227.08558476767564,HAM
4,281.69633761969254,285.6083850320579,VER
5,282.01693771018273,283.12420464182554,VER
6,148.6583257919231,142.25857234871907,HAM
7,146.47655365614236,144.7470094774001,HAM
8,147.46291886922768,141.5300379880059,HAM
9,188.57766883001443,195.25650131449783,VER
10,133.3517518115818,133.19876176243622,HAM
11,124.43158150743598,120.59885023722374,HAM
12,170.01155015907335,172.6878696997167,VER
13,266.42914767726563,270.50494231718426,VER
14,284.8761362909091,291.39226177662334,VER
15,158.45252575054525,152.27664856522702,HAM
16,216.94977936931215,201.4941836436695,HAM
17,177.84872452032374,177.55003375238095,HAM
18,273.52500000000003,274.97408125714287,VER
19,295.115476092517,298.62009604452345,VER
20,308.24895833333335,314.6083328609524,VER
21,314.50145818666664,326.2604759695238,VER
22,317.2527976304762,331.8815119694226,VER
23,326.20958336,334.35087707268167,VER
24,328.52425061647784,335.71273051740155,VER
25,324.46250026666667,,HAM
