Minisector,HAM,BEA,Fastest
0,294.17166097828573,306.45488937168045,BEA
1,305.68451135839604,324.21136066400453,BEA
2,280.86212358978355,298.2931439438961,BEA
3,106.4866737708828,106.17561397998905,HAM
4,218.14593040680273,228.3031655054222,BEA
5,275.0020731652762,285.3477347400866,BEA
6,209.8344094664127,190.73595792787302,HAM
7,152.9648816022641,164.83529536149393,BEA
8,208.51298408063656,196.50150162145073,HAM
9,216.2846658234074,208.09615870906833,HAM
10,114.16470130643204,107.54600719504526,HAM
11,230.066405145984,224.0012668923053,HAM
12,124.98718921203337,112.49891364842337,HAM
13,226.11964656897868,229.61841237861103,BEA
14,279.8386175597976,289.1060172484997,BEA
15,210.11224571094172,191.4032889233437,HAM
16,188.08593351731102,188.66758648753546,BEA
17,250.4576613260606,247.14514900743,HAM
18,195.77658867543838,180.2855433165945,HAM
19,177.1644052817244,187.56853464418217,BEA
20,264.88924974241024,267.07418417391307,BEA
21,288.92524230966507,290.44910226005265,BEA
22,172.33672619458756,164.89459860695968,HAM
23,215.30399677761318,219.75212020528335,BEA
24,274.7495668713256,277.65560504785367,BEA
