Minisector,RUS,ALO,Fastest
0,293.50661801978134,293.6000710983476,ALO
1,305.444129224,301.46297794106414,RUS
2,309.09251789409734,306.243839625731,RUS
3,190.51937647084213,183.40262557989172,RUS
4,212.5042686456508,207.02826796710295,RUS
5,203.82679243706622,209.60928856306913,ALO
6,266.2515069052181,264.1131652405195,RUS
7,264.48144016350716,252.8178888331382,RUS
8,217.77006330180285,212.73929999337867,RUS
9,208.02281721674305,202.47187762654048,RUS
10,140.22865765311738,141.34036211355908,ALO
11,198.2961028929715,201.81821819386835,ALO
12,181.3791344948148,186.36471138760626,ALO
13,255.35697604113162,252.85002184982457,RUS
14,173.3644781081489,176.04974483206735,ALO
15,236.2354066742834,237.87797013995814,ALO
16,282.3960672577942,281.7953814015559,RUS
17,292.68825898336564,291.37028099968603,RUS
18,287.6457564677978,281.8128821109251,RUS
19,265.7300679793491,262.990998409631,RUS
20,266.20731973675305,262.40781038596594,RUS
21,266.18416542376815,267.99998297566134,ALO
22,229.27134181563483,227.94658890020673,RUS
23,204.79117312152934,202.01759575047618,RUS
24,270.21499968,269.5511629424017,RUS
25,285.63749952,,RUS
