Minisector,OCO,VET,Fastest
0,303.43880928761905,299.91865344799584,OCO
1,303.7933866751323,304.20764771076546,VET
2,296.444647469407,303.8767553122807,VET
3,225.06250141866664,218.16028447719162,OCO
4,221.88109376201135,225.46402591695238,VET
5,117.7037523166326,121.2351702800306,VET
6,221.9309293805259,226.85644479114336,VET
7,262.49927462028984,268.67757030951947,VET
8,215.64967206165213,223.93793352478633,VET
9,119.72315808302183,121.39181007090272,VET
10,237.5830904772847,240.32756523387658,VET
11,251.64275443809524,250.5207622678261,OCO
12,135.84881818785541,134.8977665066628,OCO
13,221.2229675520501,219.9988262846271,OCO
14,264.8660696029227,267.05416604444446,VET
15,221.25533864409172,223.36150282694277,VET
16,169.7942721589004,167.39986966502144,OCO
17,239.84486667439614,245.40639390347934,VET
18,125.22443397138892,124.65736614996895,OCO
19,148.42920971853903,144.93885936288703,OCO
20,202.60507770884354,193.34520140076648,OCO
21,255.12776606605814,252.65692706691019,OCO
22,272.02182496507936,272.90798075334834,VET
23,283.62036635695443,282.61952958556395,OCO
24,293.515459189891,292.55209335124704,OCO
25,,298.4083328,VET
