Minisector,LEC,NOR,Fastest
0,275.0548455687716,274.91598373243573,LEC
1,297.34907350187035,294.9716666168889,LEC
2,296.2485000472381,290.76472569680635,LEC
3,190.88870855434644,178.9191936856812,LEC
4,122.52071085973476,122.57816341520731,NOR
5,237.13531961915217,239.36910918479836,NOR
6,286.0929350796524,279.8013791052242,LEC
7,302.99023351414485,285.3815707897436,LEC
8,175.1882894781789,176.8858125109867,NOR
9,139.61132859512065,139.64993725079464,NOR
10,251.22409971453234,251.36048236432265,NOR
11,287.57086833417253,286.4784623736003,LEC
12,297.96842073129045,293.1203334115555,LEC
13,279.6836418765432,287.00833322666665,NOR
14,301.6662482795995,301.96353560375525,NOR
15,306.17567660900477,303.2346016397516,LEC
16,254.13051964936608,252.33258138703326,LEC
17,215.48225551521534,227.64162998918553,NOR
18,279.6443337216887,282.4703828258144,NOR
19,306.6838766376812,301.32533316266665,LEC
20,314.7829969358178,300.0474463539487,LEC
21,217.6635715148399,228.6766297501854,NOR
22,258.227033231746,253.73643745679107,LEC
23,136.62706623546507,133.23211634579457,LEC
24,210.48847401521303,217.84792220940614,NOR
25,257.18749866666667,,LEC
