Minisector,HAM,BOT,Fastest
0,308.1054884557983,306.61128752592595,HAM
1,211.22965782905337,234.31219005507705,BOT
2,131.70881612032957,120.74817404087291,HAM
3,219.10619518350376,213.6416505221989,HAM
4,262.30788734730163,260.7701439081237,HAM
5,287.7420220168034,285.6662618340741,HAM
6,301.4067540239776,295.17230408784314,HAM
7,265.82107477027114,276.3702077288854,BOT
8,171.68239454238469,164.6578221220839,HAM
9,239.81185499063608,236.15299890013654,HAM
10,273.4889388165079,266.6574250105263,HAM
11,256.17519223498664,252.259372193875,HAM
12,206.18846300727344,199.24788830814813,HAM
13,121.21948811668932,119.57750729321683,HAM
14,125.87781773671365,123.50947824802104,HAM
15,153.31381920444565,146.66159216313724,HAM
16,125.48418250618198,128.16863161930138,BOT
17,230.05454060578987,227.8159087474026,HAM
18,172.24654585084247,161.62170769819426,HAM
19,161.25800541251766,166.85574312777143,BOT
20,241.51604694703383,244.41947296268887,BOT
21,272.9855437478059,269.23098569312174,HAM
22,291.53450688291815,286.02536495731096,HAM
23,301.4016070120635,296.0101469549822,HAM
24,306.20836043359304,302.3983631619048,HAM
