Minisector,LEC,RIC,Fastest
0,292.52812501333335,308.76388402565874,RIC
1,292.9972147746238,320.19249346031745,RIC
2,293.43859649122805,320.4293981037037,RIC
3,230.16354663425957,224.33714862050726,LEC
4,227.6772427076923,229.32416597333332,RIC
5,113.28025362854167,114.27645672705451,RIC
6,215.05026536296296,218.81295764467,RIC
7,267.7232888090107,271.7755952111965,RIC
8,250.63043311304347,228.10117653650806,LEC
9,115.14203134366748,114.56517630581426,LEC
10,233.02309585066666,235.82531256742203,RIC
11,252.53869329637183,250.8258953055286,LEC
12,137.04489660952382,134.36710458273362,LEC
13,209.60737511781858,207.83150159090542,LEC
14,268.22491522902493,267.8737314318841,LEC
15,229.07678054854534,226.39229197037784,LEC
16,155.52934753748445,152.6544868846002,LEC
17,241.62714877848936,239.17336333333333,LEC
18,125.92650629623648,120.97440524557965,LEC
19,144.18202181464707,140.83101029297052,LEC
20,192.10490779366998,185.6079798895347,LEC
21,260.22159122424245,259.73087054545454,LEC
22,273.9862206170003,275.05651029195377,RIC
23,279.6494049015873,279.80871231615066,RIC
24,285.92812506666667,286.73086290285715,RIC
25,288.0916661333333,290.0,RIC
