Minisector,ALO,GAS,Fastest
0,293.0069773371928,303.78541613534566,GAS
1,302.27758514781334,322.30316272064726,GAS
2,283.61384314805196,301.2373884857143,GAS
3,107.39538551425983,110.89066045188831,GAS
4,216.23740304212558,215.38236131809109,ALO
5,268.4374090727144,271.2329111842012,GAS
6,210.34394730020202,212.77935966295016,GAS
7,158.85062010210817,155.76646636814513,ALO
8,205.5177236136073,212.08183534224412,GAS
9,218.23608989460317,214.52490155713423,ALO
10,111.44535749974469,117.5786675742275,GAS
11,227.06326542849035,218.002529689422,ALO
12,112.50517530584742,129.09455854790684,GAS
13,208.5011818686984,207.9161654156981,ALO
14,280.8530401029864,262.68685038961036,ALO
15,213.47461207958202,233.10221138280136,GAS
16,191.95608668020867,183.55143233508076,ALO
17,250.37905886042327,245.31132954855013,ALO
18,189.917186751439,215.8869533704348,GAS
19,175.83710832669553,173.86109628317254,ALO
20,261.06107962758097,255.7625970077922,ALO
21,290.4767458613564,283.92926848706696,ALO
22,166.40794381795092,178.43981149435743,GAS
23,209.20367448380952,188.78193006273665,ALO
24,275.15442051288267,264.59116791191923,ALO
25,292.8687488,282.1033335466667,ALO
