Minisector,NOR,HAM,Fastest
0,269.5695435110586,269.5263425011472,NOR
1,244.6706820853359,240.74676775404322,NOR
2,110.65441320491455,106.29033336860978,NOR
3,175.65237723214287,166.4768234002797,NOR
4,178.53560793814816,164.1437637943604,NOR
5,208.54007777777778,204.06913394634805,NOR
6,265.76987485551535,271.2361720450459,HAM
7,283.0031216931217,285.6915077306368,HAM
8,179.70925290338474,169.55913792201426,NOR
9,132.43808583545118,122.16511259583804,NOR
10,125.96333100325968,126.8085637505281,HAM
11,175.87980736402596,193.17529188656084,HAM
12,224.90245734223515,192.2755674168595,NOR
13,126.24142657531323,128.7067473528168,HAM
14,139.74480794644606,130.07951447430304,NOR
15,125.50440960392841,116.33266465264767,NOR
16,247.50687138637545,252.65527201066666,HAM
17,140.57056822695873,135.69680278215094,NOR
18,194.0694019375796,196.18146129439154,HAM
19,122.1083377125035,115.17467029754627,NOR
20,127.93715552704184,123.92629929934917,NOR
21,118.39980654695718,117.0994484398477,NOR
22,137.59142682479487,141.17330151629446,HAM
23,206.3254023504193,209.8019377929197,HAM
24,231.18044001944014,229.92458517901548,NOR
