Minisector,HAM,GAS,Fastest
0,290.49380131338984,267.272000048,HAM
1,109.8853373863579,115.01992649692762,GAS
2,165.98260711863097,157.30278477081856,HAM
3,208.17366748104826,210.93562590222223,GAS
4,162.4771784211016,154.48749729232182,HAM
5,243.09150361410016,234.2469733366072,HAM
6,203.50490967720773,195.85857555132276,HAM
7,135.2362359284372,128.49904794549803,HAM
8,240.4278527846698,227.85940382577778,HAM
9,286.1168650793651,272.17700843949524,HAM
10,299.37453493181135,274.93667710944027,HAM
11,153.41731398222223,145.37741388284985,HAM
12,222.39413162469674,215.85055335968377,HAM
13,271.6123364802219,270.11803091289744,HAM
14,271.3621428571428,271.35262923801025,HAM
15,103.11217821425413,99.00114332546677,HAM
16,213.51502033454545,211.12485997801778,HAM
17,275.2180568917224,264.07796205550113,HAM
18,307.43962184873953,286.7559931694491,HAM
19,322.6787476016618,296.87778685367965,HAM
20,332.2853651139048,303.13856061269354,HAM
21,291.31244019138757,297.85261904761904,GAS
22,146.73459089511522,153.54571812459085,GAS
23,231.8481155088298,214.6514115115427,HAM
24,268.2503178723196,271.0073809904762,GAS
25,,278.0,GAS
