Minisector,NOR,LIN,Fastest
0,283.8767507972699,286.6610577086734,LIN
1,294.37377394885084,298.07635535792207,LIN
2,274.57380469427886,277.7716888306138,LIN
3,167.51834422243695,172.81781342265634,LIN
4,114.71280849166928,116.63849517535972,LIN
5,240.45610136861907,238.41141148169817,NOR
6,288.6861318389814,283.772851499798,NOR
7,290.07063438863827,290.6418140068328,LIN
8,171.41017083266314,175.44174580876123,LIN
9,137.5890634965229,133.32511292175238,NOR
10,258.5399077208429,251.0130005621506,NOR
11,297.2038256185085,288.9908100467532,NOR
12,296.96220764485855,291.3147047998824,NOR
13,271.8143496602881,263.74891250356825,NOR
14,284.20331626741824,280.23238205696015,NOR
15,277.4395625141185,271.4356893346624,NOR
16,234.979074715766,234.44433629383136,NOR
17,224.81132135439844,215.77012026167193,NOR
18,279.94504986766293,279.94417452418094,NOR
19,297.59025738039213,301.2535307258263,LIN
20,298.63472893219716,303.91759061682126,LIN
21,228.19726376926047,221.12679707902302,NOR
22,234.96534720670476,241.94001730635352,LIN
23,135.74041575689716,135.38639299563678,NOR
24,209.5702900776947,208.61059069631614,NOR
25,261.7187488,258.7416682666667,NOR
