Minisector,LEC,LIN,Fastest
0,276.99634252506513,286.6610577086734,LIN
1,285.08151501284846,298.07635535792207,LIN
2,269.7971676823147,277.7716888306138,LIN
3,177.35005489768838,172.81781342265634,LEC
4,115.82489398728136,116.63849517535972,LIN
5,245.72470520353247,238.41141148169817,LEC
6,298.22889610419196,284.04359708676327,LEC
7,309.6603219690816,289.32007487639805,LEC
8,171.71236276437773,172.63647066905327,LIN
9,136.77714896427383,134.76971855073762,LEC
10,248.93455670457394,253.75374130289134,LIN
11,283.83058954118746,289.62717368311684,LIN
12,288.85932533038743,291.1392145522578,LIN
13,275.4594550739927,263.74891250356825,LEC
14,287.86121281626913,280.1648645524595,LEC
15,279.6569723926833,271.0615443288844,LEC
16,243.69662638134383,233.08077508403701,LEC
17,219.00511668215182,217.9160131188148,LEC
18,285.00882364275134,280.94553310644886,LEC
19,309.4372223573333,301.4403959210025,LEC
20,306.0085381721553,303.38391116718026,LEC
21,225.89277037641725,218.5438341634675,LEC
22,235.07223021824822,242.76001797411823,LIN
23,134.76579288699762,135.50842793051424,LIN
24,206.93835505913123,213.85661400372294,LIN
