Minisector,HAM,BOR,Fastest
0,327.45466000761905,326.5383036398143,HAM
1,335.65543864140346,336.86925006019044,BOR
2,333.41734562735934,334.58525525131023,BOR
3,201.76056325304663,191.51738647805732,HAM
4,135.5537391527976,134.51175639537112,HAM
5,266.2515983873016,264.63615120177917,HAM
6,306.0644473687958,305.51195351625256,HAM
7,320.1617011897744,320.74523311725125,BOR
8,287.25791189487603,280.84812805435536,HAM
9,146.50584407608085,146.29529021187682,HAM
10,230.56296510134453,226.09303340725623,HAM
11,228.2531019971093,224.14352164615866,HAM
12,206.89643075182465,201.28407466432404,HAM
13,274.9590019046404,271.9562854162811,HAM
14,309.1986581071459,309.9326254707291,BOR
15,322.73335530224347,324.70828342455724,BOR
16,270.4157812421534,267.5624173379894,HAM
17,217.91693093740258,206.83764319801676,HAM
18,280.3041684244106,278.3828199683516,HAM
19,313.3166265496198,312.3950406559887,HAM
20,325.4816770385093,326.00043761066667,BOR
21,310.6745985601854,313.62254566529265,BOR
22,218.01627038203597,213.18039067397987,HAM
23,274.01285857548976,273.0841814351415,HAM
24,309.85291583676184,308.98349440510515,HAM
