Minisector,PER,NOR,Fastest
0,269.52387246547863,270.7930380421602,NOR
1,291.6524077035498,290.7049072998068,PER
2,283.4763895163823,259.9355391075481,PER
3,156.73931747887957,148.75727686367867,PER
4,192.30004616097108,183.695728915092,PER
5,167.8112922816259,171.8846377115076,NOR
6,157.3229982556391,159.61707642967158,NOR
7,183.28128014943348,185.97546921825398,NOR
8,235.24137475566883,236.61223132360402,NOR
9,229.35852198772457,216.8561001255837,PER
10,141.34639558919247,136.96610711759834,PER
11,218.3741441611729,208.5065349091436,PER
12,104.43311963228987,101.10081062122524,PER
13,212.7929616336939,210.58072167331218,PER
14,264.9914977004316,263.1734536315617,PER
15,272.9281378937198,264.2525050067218,PER
16,169.79553783015643,163.84135424020317,PER
17,152.1582498030044,153.47978455197082,NOR
18,250.0329074333054,252.0779726587379,NOR
19,281.2033806714834,279.78062091248484,PER
20,294.56862772298365,291.1161618285714,PER
21,287.9401655185083,265.45675764654635,PER
22,232.3840602748924,220.68082392093882,PER
23,100.17622373091719,101.47334110849184,NOR
24,216.44392655069146,212.37626487399635,PER
25,254.520832,254.5714304,NOR
