Minisector,STR,LEC,Fastest
0,298.90601181797973,299.6785267502607,LEC
1,185.16196793536182,192.08258327833116,LEC
2,221.69102868235362,214.8793937566701,STR
3,274.9773134855844,272.42041369811,STR
4,235.44668950684357,245.55180498020704,LEC
5,123.89072150871749,123.73126456359701,STR
6,201.86427935534397,198.5318028310432,STR
7,230.66337464419487,245.290185079436,LEC
8,218.26081358189364,231.3821899337892,LEC
9,225.0870243401819,226.07484702509407,LEC
10,269.6543801471605,274.70595555937643,LEC
11,288.7600336812706,293.57779263147,LEC
12,300.3475094693018,299.13559744410117,STR
13,318.38115098062104,302.0154440063796,STR
14,324.44678571428574,303.73689756305913,STR
15,222.687659938411,244.98766627769592,LEC
16,233.17055403514388,218.69226674002547,STR
17,280.5061481080059,265.5051697157144,STR
18,293.05795987491996,289.47608263946216,STR
19,137.94111992770806,140.35936501714443,LEC
20,181.80331496927369,188.65143481105503,LEC
21,168.7222799829043,165.73594058892954,STR
22,134.09190581856416,125.86701918830985,STR
23,230.13470439856562,234.08168616487657,LEC
24,280.93652243242855,291.9051607506138,LEC
25,296.13804299130436,310.62142857142857,LEC
