Minisector,BOT,SAI,Fastest
0,297.1192756592108,300.2039468350877,SAI
1,308.4645664717087,311.336896512207,SAI
2,159.4166737606396,158.28917474818005,BOT
3,219.6061741015873,216.3421433910006,BOT
4,279.9624990877193,279.3354120013286,BOT
5,306.8795088937202,306.9642853925926,SAI
6,317.3237045064426,320.18918408161437,SAI
7,167.25007779990656,195.6519590081168,SAI
8,117.37083205756613,110.64662403505218,BOT
9,250.7718237968254,251.81547525079367,SAI
10,290.34999955087716,300.04071851918246,SAI
11,304.2313726028011,319.73848043921566,SAI
12,149.41817080747978,154.30997798476923,SAI
13,191.2073172994709,180.0792059740531,BOT
14,255.8058022311447,253.42956307301588,BOT
15,207.50224455384614,212.32505371595875,SAI
16,217.25497526129547,218.82725622222222,SAI
17,213.8178336853333,219.8816850522318,SAI
18,240.51387551995555,240.36265354084392,BOT
19,272.8502187789474,275.4067978666667,SAI
20,288.98026301754385,288.3083333614035,BOT
21,267.82660363307315,270.8484533561905,SAI
22,226.61232706666667,237.9224841004329,SAI
23,200.53254996073963,203.13286731816882,SAI
24,259.27442223267894,260.7675731229025,SAI
25,276.4124992,280.05,SAI
