Minisector,HAM,GIO,Fastest
0,277.84665877413977,278.38266780630437,GIO
1,225.59900295314284,219.1786042353974,HAM
2,115.07980673564401,115.3496684602634,GIO
3,194.39284408950792,199.80250048000002,GIO
4,172.7526880344086,170.30178563174604,HAM
5,224.23582193112756,226.7913177109605,GIO
6,287.44931352804235,281.1104829291005,HAM
7,308.3663688804233,297.69289022645506,HAM
8,180.96567537269843,170.0214067169139,HAM
9,125.9838031769247,126.349338438199,GIO
10,136.52811280853484,135.88345077895838,HAM
11,199.8250910945055,196.41449988693205,HAM
12,209.89194765294857,210.5953476193566,GIO
13,131.08546742113822,134.08624886048952,GIO
14,142.42114861898636,146.74816711631755,GIO
15,132.01866733339418,130.66810061003457,HAM
16,264.29843962134635,257.1620830933333,HAM
17,135.26200040686678,138.97413558857141,GIO
18,201.81921629050717,207.22794462734703,GIO
19,132.3731145043436,130.41254412644568,HAM
20,145.70750644782584,147.11186015151196,GIO
21,128.50145636311748,122.743654808612,HAM
22,151.48879398284691,150.0493862857143,HAM
23,222.51709396746614,215.37368295245258,HAM
24,242.58858731594205,236.1434265706004,HAM
25,,265.2166698666667,GIO
