Minisector,BOT,ALB,Fastest
0,272.86299576023475,270.0180205203021,BOT
1,292.6205607451326,289.2386081079039,BOT
2,295.6421740734695,296.98177066666665,ALB
3,131.22927347511344,130.27870083109622,BOT
4,201.3231681385708,193.3433580697059,BOT
5,260.17986115555556,258.2981968374712,BOT
6,144.91154677240212,144.91102894813267,BOT
7,210.50524381927792,201.96003920183588,BOT
8,262.9026086797474,257.8691989182867,BOT
9,284.8604651175131,281.3487368740083,BOT
10,243.47065734074846,234.84787594894314,BOT
11,185.39671707723525,181.2664001844017,BOT
12,194.69834390812676,189.72611830536945,BOT
13,147.37951027004678,147.2674370827774,BOT
14,176.9162573942149,172.64923166182223,BOT
15,166.7571264164041,161.83691820635576,BOT
16,218.2430814847068,212.50245641516247,BOT
17,242.55315959368687,238.29393731680352,BOT
18,244.3320755462726,238.45053118656102,BOT
19,246.23466888883522,256.1853611646845,ALB
20,149.2012382480167,143.6007954716218,BOT
21,135.35141757640625,141.25273998093078,ALB
22,169.46905834794686,166.38481224183812,BOT
23,154.22769371796582,149.28891023426328,BOT
24,233.95248399506218,223.43204045009588,BOT
25,,257.1166677333333,ALB
