Minisector,ALO,RUS,Fastest
0,319.57644961656314,320.594918602698,RUS
1,329.29829541818185,329.05220159921834,ALO
2,328.28195738781335,330.5951317621531,RUS
3,198.1303401823634,196.4524607050539,ALO
4,116.26339049060226,113.460415869648,ALO
5,262.18024820599646,264.5453748557908,RUS
6,299.19854621183634,300.64271400228574,RUS
7,313.50510814236077,307.79655800579707,ALO
8,285.4127362883989,277.98878317948714,ALO
9,138.09531700804976,138.72569276937898,RUS
10,218.74651612903116,214.78331781180395,ALO
11,204.25433023757193,204.99288984550265,RUS
12,193.718338006866,188.32605622882946,ALO
13,262.860647545679,268.3108275692368,RUS
14,302.3577037969968,305.92616778418176,RUS
15,317.40688408115943,322.83931144347827,RUS
16,260.29411085731795,259.13856256234027,ALO
17,196.04050000143755,191.50997855559092,ALO
18,265.43564310239327,264.4813814763792,ALO
19,302.4705450362611,306.2284415536232,RUS
20,318.4566390067282,321.59594031613915,RUS
21,304.83923573333334,301.72150190933337,ALO
22,204.56167383703703,198.31028719218378,ALO
23,259.13817220411215,263.53749929876545,RUS
24,299.6966662826667,302.36768279305255,RUS
