Minisector,NOR,RIC,Fastest
0,294.2117937186724,284.11583521737214,NOR
1,301.207126962465,288.41541498311113,NOR
2,155.50468220951242,157.2134997095164,RIC
3,224.83310162956167,220.65885996576898,NOR
4,278.99353406079285,269.30313464701754,NOR
5,304.986836425172,289.5833957131628,NOR
6,316.0276189053968,295.32501591425427,NOR
7,156.53459676013824,176.08788657827662,RIC
8,119.46178930594982,125.68346538089979,RIC
9,252.257695944127,244.31832246886552,NOR
10,295.08740820076446,280.79466693551626,NOR
11,310.76744778197974,293.4123201022222,NOR
12,137.65973546250595,140.4222235209664,RIC
13,185.9929044524047,184.74897192295703,NOR
14,252.07123442339181,254.7122013637385,RIC
15,197.54506435046653,197.52582928699627,NOR
16,212.95109455878932,222.12851598294841,RIC
17,208.0334356265008,203.12387055502646,NOR
18,241.69997620370927,237.6796350555066,NOR
19,273.5920810663762,273.6309972376689,RIC
20,286.93374703820587,290.4656779649673,RIC
21,255.1605034806349,256.9446270861968,RIC
22,215.56021890249514,217.9072250195291,RIC
23,198.0184038542422,193.62016965748825,NOR
24,257.80749298885183,255.3989962160959,NOR
25,276.93999872,276.0437488,NOR
