Minisector,SAI,HAM,Fastest
0,253.32794929953602,252.42858247576717,SAI
1,209.57329145334444,217.25157350054934,HAM
2,206.18897836011115,212.23309517774064,HAM
3,256.2089444947908,261.08416411048296,HAM
4,272.2947852909926,275.7139770888312,HAM
5,292.2242902421094,293.7094388716553,HAM
6,168.63826579742496,151.71400781185832,SAI
7,184.78419678756114,184.20616730048678,SAI
8,268.6782728,269.1179524549184,HAM
9,297.2232691404147,299.6913661563581,HAM
10,308.33311926245426,310.74174923597883,HAM
11,313.67174259745366,308.2684399567595,SAI
12,110.81633314135873,105.08364268064224,SAI
13,196.99474288298978,190.666242183352,SAI
14,272.57147942647345,272.59449286852293,HAM
15,296.68717434180707,296.25173659753546,SAI
16,302.7685755507181,300.19150962077924,SAI
17,187.52025930446842,188.78626951211237,HAM
18,220.46330744396937,224.07005489777777,HAM
19,272.27754494439074,272.27250077605476,SAI
20,149.74897415623823,146.9586588215925,SAI
21,146.86190812653302,146.38745411968992,SAI
22,226.6684225184051,229.63514662885174,HAM
23,233.94158558118787,240.7992801025641,HAM
24,156.77025251576148,156.38817511551548,SAI
25,,226.29384944761907,HAM
