Minisector,PER,ALO,Fastest
0,291.8805278734288,288.5577012143693,PER
1,299.70472746666667,295.40590984515154,PER
2,164.7868856979581,167.8545904572699,ALO
3,223.9550864529323,222.12136367337536,PER
4,273.234751325042,269.6858661250269,PER
5,293.08037542457913,291.6986255193277,PER
6,303.0314627256565,298.94498104295366,PER
7,175.7608861197616,167.61151202959707,PER
8,126.01764359560609,122.09607852953896,PER
9,247.51591458861074,244.56293526240557,PER
10,284.2280849662337,283.2255190869145,PER
11,297.30808257212124,295.19665766762864,PER
12,148.5958773113473,156.42774559080354,ALO
13,191.05614014894016,182.58132917281966,PER
14,256.5513513812387,253.24691644193732,PER
15,208.38352224620212,202.32952730784436,PER
16,214.87565966101207,213.9652076591304,PER
17,215.48045461478458,208.1771820184932,PER
18,240.54546292664998,239.48134264562356,PER
19,275.21556224560146,274.1121319928699,PER
20,291.30080570687966,293.132975874709,ALO
21,261.7788755241099,268.3234029123232,ALO
22,223.10624326894924,224.6340474009917,ALO
23,204.69136616847888,198.03781933473059,PER
24,265.21552557825055,259.74750261734334,PER
25,,279.0187496,ALO
