Minisector,OCO,ALO,Fastest
0,289.16738056272106,287.5588780283541,OCO
1,299.47208065274174,297.4565767529412,OCO
2,280.71384165502644,279.0554927392562,OCO
3,108.99502717284054,105.84980958347514,OCO
4,219.85578369836574,221.42401313636685,ALO
5,269.85572746909344,270.22978508824775,ALO
6,200.92771716813027,193.55885981530378,OCO
7,160.0238387956044,158.57937214172236,OCO
8,208.13359860691233,207.19759836955802,OCO
9,213.28547295510876,209.984582355671,OCO
10,113.46885696351477,118.95249968256893,ALO
11,223.03209423622897,225.14729756725123,ALO
12,115.63283374432403,121.04975984684759,ALO
13,214.58013420694863,220.7167725430997,ALO
14,272.1550916765368,271.8211921134162,OCO
15,215.00387731301586,208.64449926510105,OCO
16,185.75507524390025,191.54727737319237,ALO
17,248.91491993256437,245.8194785992496,OCO
18,202.3136629004762,193.68226771072145,OCO
19,165.73098728556997,179.9222053854778,ALO
20,261.6991801216529,257.5150448032399,OCO
21,286.19536685764035,283.3374999111111,OCO
22,173.40580064837465,175.9212171556545,ALO
23,198.07137094618258,205.0398801408534,ALO
24,266.7330948063492,270.71134577511,ALO
