Minisector,HUL,ALO,Fastest
0,253.7697818669815,255.13288735188846,ALO
1,198.9211310412289,199.9186631163454,ALO
2,205.38835494965988,208.18785993344315,ALO
3,247.26924508635824,261.33444467070706,ALO
4,268.5982622708918,275.35282174521535,ALO
5,288.52230628675784,290.9747909977611,ALO
6,152.94040578935858,150.13280819776287,HUL
7,191.6170554084733,188.48342777295716,HUL
8,269.6138771220779,272.54240988504614,ALO
9,298.90265620109176,308.0633161802688,ALO
10,311.5193256164849,325.2102732020168,ALO
11,312.6970849699822,305.058457847815,HUL
12,107.80315508627415,101.38697071534425,HUL
13,196.75160567536736,201.76500632491064,ALO
14,276.57091574549287,280.88926030646496,ALO
15,309.79870855610113,311.89474611961907,ALO
16,320.6717942404889,320.46791671492065,HUL
17,186.61926010195666,174.01129686137565,HUL
18,219.2311049545299,225.95325644839505,ALO
19,268.2690751883427,268.2441156832653,HUL
20,152.0700151099131,143.84255982171427,HUL
21,138.9733265563801,145.1657203061023,ALO
22,212.99453362802566,223.51860080827748,ALO
23,220.28325830162566,218.50728046111382,HUL
24,159.70057360866187,166.32196880989179,ALO
