Minisector,ALB,NOR,Fastest
0,317.3047548816126,317.278491569733,ALB
1,326.74656249,325.23510104,ALB
2,323.9220110771581,329.18408228786035,NOR
3,183.82618907283833,192.17159214192088,NOR
4,121.5604892399591,116.18429370933603,ALB
5,264.4559139235303,260.6992463074544,ALB
6,296.36848608987015,297.3768253635401,NOR
7,314.3695370745679,307.61430559999997,ALB
8,267.0145283104372,268.1803637664303,NOR
9,139.77538922266913,137.99466666888114,ALB
10,202.28099255565175,210.01142909943243,NOR
11,207.9724547090039,205.44852193658474,ALB
12,188.19154771597402,185.36747911419826,ALB
13,265.35691650133333,268.36743666834286,NOR
14,299.86716206049095,309.12707611111745,NOR
15,312.63712589351474,327.8204943571386,NOR
16,256.53952949335394,261.41121933824707,NOR
17,203.22734944550064,209.37432481487775,NOR
18,269.60550348733733,267.65184394913354,ALB
19,303.7992188706151,303.8041488842914,NOR
20,319.74010025062654,313.1998819470899,ALB
21,287.91294955100113,292.6419188716178,NOR
22,196.6006409682422,199.81095867690476,NOR
23,260.1612193340837,258.2257678289806,ALB
24,299.5597979520923,297.7232991488889,ALB
25,311.74166613333335,308.9750016,ALB
