Minisector,LEC,OCO,Fastest
0,272.2932140136296,279.79323329260967,OCO
1,115.45387174755066,116.1674875943492,OCO
2,170.71370948883032,164.15310047183723,LEC
3,211.6406037050206,208.91249349233954,LEC
4,171.83403077455057,163.6638514563265,LEC
5,244.81016028604847,244.5612209693848,LEC
6,213.61339467012988,213.97539012103857,OCO
7,141.73788839270492,135.17274749734878,LEC
8,237.36960654175755,242.05157904158153,OCO
9,277.2006410190999,279.0528363867787,OCO
10,289.95172286743383,283.42499072723257,LEC
11,154.78576165358538,157.85114649703974,OCO
12,225.0511614548466,226.96024811804554,OCO
13,270.94894690698413,271.7607072794558,OCO
14,270.21371600234176,256.01103061333333,LEC
15,104.6702464654804,105.03128788881679,OCO
16,226.0052696198421,230.14625314112556,OCO
17,273.88102714277767,272.70472047781817,LEC
18,292.2281424551782,293.1125186972923,OCO
19,305.9238489955556,303.24044895250216,LEC
20,311.18221108278016,305.6841736963585,LEC
21,297.2525755755025,278.9304244209471,LEC
22,159.92560454778393,166.05221872805177,OCO
23,234.6098842910712,241.03503432060145,OCO
24,278.42568409878027,276.9507700273132,LEC
