Minisector,SAI,BOT,Fastest
0,296.4718882753102,291.7408331073016,SAI
1,304.62648807619047,300.9214582577778,SAI
2,307.03216811505195,307.9845238857143,BOT
3,295.5224356923077,304.21250054965986,BOT
4,194.85419939712583,201.3498621104204,BOT
5,96.97002581296977,100.58290102511144,BOT
6,206.7396835555556,201.91672750210157,SAI
7,258.04737724615103,254.9318808905376,SAI
8,280.559896,281.56502901904764,BOT
9,281.2461095822222,294.33660708571426,BOT
10,144.52447994774485,157.28453877611136,BOT
11,177.13073116829145,176.80763742222223,SAI
12,241.1513893925926,240.173012255087,SAI
13,241.67198959576723,241.7005769291558,BOT
14,148.06138783821578,156.32456956321838,BOT
15,209.93412091578483,206.95711542448242,SAI
16,259.9028214088979,257.6747538644258,SAI
17,281.0811757809524,280.35572886666665,SAI
18,292.80972236190473,292.52562065411087,SAI
19,299.51095314595295,299.844539790821,BOT
20,291.67741931960205,286.290120584127,SAI
21,150.28190414979525,152.6294130772231,BOT
22,208.57523934476188,206.76179398487082,SAI
23,258.0577723982575,256.44936920560224,SAI
24,282.39680091428573,278.6890572345381,SAI
25,,287.1194446222222,BOT
