Minisector,RUS,HAM,Fastest
0,296.4725212482951,308.1054884557983,HAM
1,236.85590155767193,211.22965782905337,RUS
2,135.12382603096057,131.70881612032957,RUS
3,216.22618672620078,219.10619518350376,HAM
4,259.17110397327355,262.30788734730163,HAM
5,283.4104980711111,287.7420220168034,HAM
6,293.1325000147301,301.55082324486773,HAM
7,270.9332217697371,263.70002336861955,RUS
8,173.7376395986134,173.08659473729952,RUS
9,234.7334543130326,241.32826841119586,HAM
10,265.90986135111115,273.4889388165079,HAM
11,257.62443995597886,256.17519223498664,RUS
12,209.00121010250072,206.18846300727344,RUS
13,129.40210085506143,121.59001046082386,RUS
14,123.24537219919824,125.76911111107052,HAM
15,159.4290864807895,149.69830039006652,RUS
16,121.46489811782067,127.40613582882095,HAM
17,231.86386151762576,230.05454060578987,RUS
18,176.55280945218533,170.0522293378483,RUS
19,163.14512389468564,162.98150560582187,RUS
20,244.63542271435622,242.7209853619142,RUS
21,269.94262298939725,273.59585173379514,HAM
22,283.42169328507936,291.53450688291815,HAM
23,291.8290692886003,301.53836453774437,HAM
24,295.72209574331026,306.3782343131002,HAM
