Minisector,BOT,VER,Fastest
0,265.85313983917,264.9448860888769,BOT
1,132.64810804272074,151.09722924008892,VER
2,190.8997932464473,175.80674542400715,BOT
3,243.75711251485163,241.05754975398557,BOT
4,263.5838709578589,261.17819833316713,BOT
5,180.66554935587445,194.98540954846004,VER
6,148.1370640546215,154.4146739478261,VER
7,178.36121414016776,170.41789348556543,BOT
8,105.20187160171066,118.20669294187577,VER
9,77.83307537712385,83.3878859374121,VER
10,92.23332940912485,97.04321510611436,VER
11,167.63527858588208,143.3562825397771,BOT
12,240.85249962666666,236.76956253095125,BOT
13,269.10986191826885,264.2076923076923,BOT
14,281.19314210504433,280.5080128,BOT
15,129.20753545432248,173.87827228956795,VER
16,122.42780096377828,105.824375097447,BOT
17,191.30124790634102,205.34824664009437,VER
18,184.75286137928498,185.8793233082707,VER
19,224.15087317585602,228.26098218397695,VER
20,132.0220034364532,142.09237980419996,VER
21,125.87665131755179,154.842134248663,VER
22,86.81837839595799,82.57886361322113,BOT
23,185.44616120701755,168.0383156615178,BOT
24,249.66533532322464,240.35595871540775,BOT
25,,256.7124992,VER
