Minisector,ANT,HAM,Fastest
0,298.08341069942855,312.2283452111271,HAM
1,224.60580964699747,217.20994620069266,ANT
2,215.88179158349692,219.26281620286605,HAM
3,276.3720800797166,272.44936574831746,ANT
4,261.0339271732837,249.71775629205433,ANT
5,122.92872855765228,122.66030397801286,ANT
6,198.63653363633335,195.7356224453799,ANT
7,251.12956700350375,245.91160756663032,ANT
8,239.62376024324516,230.75165067542858,ANT
9,239.9801585567753,241.20859194090062,HAM
10,286.91248193593185,289.81098669947596,HAM
11,305.4735189155556,310.747565968127,HAM
12,317.72630344536566,322.1428708166685,HAM
13,314.2719035324852,319.02160837696147,HAM
14,307.6294067274854,306.11703586646615,ANT
15,263.88251192226363,249.36597611397391,ANT
16,240.12924073818067,241.44438200431745,HAM
17,281.1363081764182,277.8064817382716,ANT
18,288.2191182440573,288.39071020795166,HAM
19,156.87959282443512,149.288753247683,ANT
20,200.10540591817912,199.24970199797195,ANT
21,179.5973548885397,161.53603673950937,ANT
22,130.28863841828968,144.32427561265473,HAM
23,237.2003449444953,242.0151523946163,HAM
24,285.88664082984127,293.75898126695,HAM
