Minisector,LEC,GAS,Fastest
0,233.03800858478797,235.92100173249108,GAS
1,279.63896845206347,283.5285947211303,GAS
2,294.74292553713383,297.61133329066666,GAS
3,301.1020348837876,305.12961314920636,GAS
4,264.6879172388283,269.6795195625737,GAS
5,167.4081562528377,167.92222716219513,GAS
6,258.8790068383286,263.6710287637355,GAS
7,277.3514423794872,281.79980800237826,GAS
8,206.01832983731958,216.78197597045695,GAS
9,221.75839862763257,222.35351880948394,GAS
10,175.47305774143572,185.58678157432337,GAS
11,226.38839464696525,229.4381002419751,GAS
12,198.75359721104792,202.38600249296877,GAS
13,206.84861872941588,211.6683360184668,GAS
14,218.46422655127142,224.82600217514454,GAS
15,178.01858182007493,181.8291600596703,GAS
16,244.89939141579694,251.02969413034074,GAS
17,282.5420001462857,288.2633335466667,GAS
18,297.64802382240373,301.1719202318841,GAS
19,294.98416661333334,290.4702461733732,LEC
20,128.77986317819267,127.91703827775197,LEC
21,156.33055344459925,161.49410487793807,GAS
22,148.51735689907542,150.74335661318378,GAS
23,200.90336697904763,200.82634519769695,LEC
24,147.9740364703923,147.41416637535937,LEC
