Minisector,STR,OCO,Fastest
0,276.24189986938774,274.18245166526316,STR
1,298.5210548733654,296.2497179588638,STR
2,289.9912143908571,293.91233335466666,OCO
3,177.51160070889938,180.09778918820862,OCO
4,116.44285279941083,114.96391402831317,STR
5,236.01694314666665,232.01213952972432,STR
6,283.0934466472836,278.92596127179485,STR
7,292.23516727466665,288.3142079086632,STR
8,170.24996966129294,174.8733145142857,OCO
9,139.2918467285838,136.71892649214197,STR
10,251.0002765511111,246.91513909147403,STR
11,291.5272700639169,286.486166272,STR
12,302.4969205333333,297.56928876416487,STR
13,272.9121452882649,271.1058642962963,STR
14,292.75992826514283,290.9816185660952,STR
15,299.12453514115873,295.89638991357725,STR
16,244.39942592507936,246.45016036063492,OCO
17,213.86776025831762,219.85969464378937,OCO
18,275.71616605866666,273.76826843076924,STR
19,298.7979962001941,295.7585540007405,STR
20,297.01602466172847,295.66600008533334,STR
21,224.50616860958638,225.72706656458092,OCO
22,250.9647125310094,246.29359512906404,STR
23,135.1847779710789,138.6538960449905,OCO
24,213.23183588289638,208.62170373414423,STR
25,,255.11666773333332,OCO
