Minisector,SAI,HAM,Fastest
0,323.3143576140837,325.52435199818086,HAM
1,333.2775759890743,334.5941228991733,HAM
2,329.7467106021053,338.2151894138487,HAM
3,192.2188453711511,189.6703430101792,SAI
4,128.05434171585617,137.02988187356985,HAM
5,269.0824289473646,268.2681041551323,SAI
6,304.1278858495615,302.25655067897833,SAI
7,316.0835192761905,318.61387434301616,HAM
8,277.3768240414815,277.0337097456854,SAI
9,147.11884965893157,146.0025224642717,SAI
10,216.5987524981932,231.7567223915917,HAM
11,223.99621554316738,234.96716903118403,HAM
12,196.75611558023746,206.58795535211524,HAM
13,270.8527577265637,271.69811147682543,HAM
14,307.966887638747,308.43505729817116,HAM
15,326.09056260380953,326.02689201088435,SAI
16,272.9849727393939,270.5919768560501,SAI
17,212.56998062784527,216.8823054716457,HAM
18,277.9760028057143,281.8237832259928,HAM
19,309.7664021119845,311.49707143585374,HAM
20,324.99864559703707,326.6763277758922,HAM
21,309.3791727237474,310.5102401088435,HAM
22,198.84306801401684,213.42082434590475,HAM
23,265.5298813981505,272.4938972191053,HAM
24,305.7634326796191,304.8902944014545,SAI
25,316.36785737142856,,SAI
