Minisector,RUS,STR,Fastest
0,279.18518620506427,273.11824626785017,RUS
1,114.17829033907013,111.8508556330629,RUS
2,165.97271253743162,158.01597116300687,RUS
3,216.6287840441457,207.24954063641388,RUS
4,158.2537033425226,151.30111453856208,RUS
5,241.0041256098399,239.06484886787877,RUS
6,206.71233395129812,205.96368706289107,RUS
7,135.10539098263527,118.78988989851551,RUS
8,235.6408938736804,228.47500057076022,RUS
9,277.0856944444444,273.87213548696207,RUS
10,286.4384694637004,289.28921693121697,STR
11,153.26847152444444,146.12623005355448,RUS
12,226.11146392352487,220.48241906148147,RUS
13,273.1077596689386,272.46999850978705,RUS
14,273.5190367965368,265.2705952,RUS
15,101.5567689348067,98.15464994305583,RUS
16,211.9377724289855,212.50441943434345,STR
17,267.98350932274485,269.6855503749859,STR
18,304.49978524743227,290.17005664089277,RUS
19,317.3147544347016,301.2609166613653,RUS
20,325.5117593244444,306.88204628913127,RUS
21,282.99157894736845,293.35580357142857,STR
22,149.23697501976955,146.5491626856309,RUS
23,238.34186792372654,228.26247263427663,RUS
24,280.4295399669304,272.87509419949873,RUS
25,283.95000319999997,283.7875008,RUS
