Minisector,PER,SAI,Fastest
0,284.8371156675571,292.87462777610125,SAI
1,137.11258716610192,138.29162473738182,SAI
2,212.6865898237825,217.34155548355943,SAI
3,285.7144837141395,281.68722959481687,PER
4,321.4968166587251,309.6629553037242,PER
5,312.78533834586466,304.4967985893128,PER
6,151.94544101113453,152.54576786061574,SAI
7,241.51024802515366,240.75058726137704,PER
8,108.8171748578989,110.94732027851526,SAI
9,168.20331944755338,161.0535460854329,PER
10,275.5488838537724,276.25276637706276,SAI
11,299.36444979320623,297.97526623749366,PER
12,220.28418823892025,221.3067170569412,SAI
13,175.34269283016414,164.25977549294868,PER
14,277.56845453970584,275.1575672420616,PER
15,309.29317222215155,310.0718282878353,SAI
16,322.97134379824706,323.95118545305485,SAI
17,331.81277454984763,332.16750653391136,SAI
18,343.3265538269355,335.6706124621619,PER
19,348.28528313687076,332.1239930057143,PER
20,189.56850902996877,215.5755657543143,SAI
21,174.54036497150142,157.58318744867444,PER
22,274.89285628673366,272.8309939005018,PER
23,308.5692319652878,310.08946424747984,SAI
24,320.9127739984883,320.65385102575567,PER
25,319.0,317.74099744992753,PER
