Minisector,RIC,PER,Fastest
0,302.2159420753623,300.60126812753623,RIC
1,302.89903628480727,302.2624191379886,RIC
2,248.31543047901235,257.3153303405714,PER
3,156.34823141897238,154.19580262795415,RIC
4,171.9032102970271,169.19133839619047,RIC
5,215.1360424711111,217.61921467898514,PER
6,236.6452974947894,234.5930602713954,RIC
7,214.3147227022222,213.2545216904378,RIC
8,264.4634973415685,268.00296164793434,PER
9,259.6518846655567,252.4880146730267,RIC
10,272.4916669681159,269.635178298142,RIC
11,270.16324997333334,269.286448919192,RIC
12,271.8332589650794,269.49049975466664,RIC
13,266.6383749228213,265.8468132220603,RIC
14,181.50707500843538,178.90056249987128,RIC
15,236.68593212175253,237.69138048008685,PER
16,205.99741295714284,211.8560877388444,PER
17,169.90585477600362,172.90063996908646,PER
18,255.15288549743588,256.21827448996277,PER
19,285.76875352273686,284.94252246522143,RIC
20,255.34887536410255,256.2330360005893,PER
21,186.80977773699692,182.47788011822453,RIC
22,254.17786244102564,254.82525860440035,PER
23,283.2230306409078,284.7685532172646,PER
24,297.2001985523809,295.9273552695652,RIC
25,301.0,300.44166613333334,RIC
