Minisector,HUL,NOR,Fastest
0,300.3392941499289,295.3487922300936,HUL
1,244.7740726963207,246.40459096531387,NOR
2,202.54547573310825,202.09337726052453,HUL
3,265.1555517520916,267.85919706333704,NOR
4,229.45209698362797,224.44951184217686,HUL
5,118.96088997404138,118.29870574160611,HUL
6,186.18215361327194,181.24766040645457,HUL
7,259.2334231402445,257.5715712513464,HUL
8,288.7467992593055,287.34324056619624,HUL
9,302.7079799465836,301.1570182366542,HUL
10,306.6369468782157,303.7396147805289,HUL
11,225.05786439121223,213.9077292258161,HUL
12,145.53347935485957,148.32973667414169,NOR
13,259.00701897480343,256.6454787871402,HUL
14,293.01803830297314,288.98998991008494,HUL
15,301.9341834836536,300.4636945617341,HUL
16,296.3190408764579,294.77020842666667,HUL
17,262.1373126139411,264.4209812367204,NOR
18,186.72703935284747,193.3284327220287,NOR
19,185.37200779378992,183.42211959251281,HUL
20,187.3815846253454,186.84805471242558,HUL
21,247.54689875522823,244.67213415237953,HUL
22,127.1198375997964,125.69054450010101,HUL
23,204.3089791800618,208.05434274541383,NOR
24,288.2272745449981,278.24657204374444,HUL
