Minisector,LEC,PER,Fastest
0,317.65320198545453,309.90162180881833,LEC
1,323.98892956362437,318.58965282031744,LEC
2,319.8468597095065,315.56422951068583,LEC
3,189.27131140063491,197.39527323776264,PER
4,128.74994520335719,123.76850241560571,LEC
5,261.2384083774359,259.33583895906474,LEC
6,297.3724850638095,292.70269114006925,LEC
7,307.3798958114286,305.3601291505378,LEC
8,266.54012935454807,266.2576101621127,LEC
9,145.80096762214654,144.17970934041645,LEC
10,212.8479357258835,221.24889379235742,PER
11,219.08106207726206,216.6434535101084,LEC
12,193.1081411582404,200.06141984919353,PER
13,264.6811850727562,263.78802628252595,LEC
14,300.54194674873855,297.81177579882325,LEC
15,312.4268181006699,309.7809171606107,LEC
16,252.07633061189162,270.8712189329426,PER
17,207.2245198222054,202.72872958681035,LEC
18,271.77651009015875,268.0088264994104,LEC
19,304.11475231117794,299.636235191579,LEC
20,312.83246692250464,314.11761927214735,PER
21,294.03145371428576,302.26232191669186,PER
22,207.99302058653265,219.7828070042528,PER
23,263.08706487265306,261.6131023419843,LEC
24,301.2408698224738,296.8596659191388,LEC
25,,306.8750016,PER
