Minisector,RUS,PER,Fastest
0,315.7332797733489,309.90162180881833,RUS
1,324.57822929246794,318.58965282031744,RUS
2,318.4045915488926,315.56422951068583,RUS
3,182.00097925794367,197.39527323776264,PER
4,125.29415321261365,123.76850241560571,RUS
5,259.80381901553943,259.33583895906474,RUS
6,297.44294589941524,293.1675565830658,RUS
7,309.7681663260681,305.5369780531977,RUS
8,267.3733949497861,266.2576101621127,RUS
9,146.3521899173246,146.06258983145813,RUS
10,210.0493469393438,221.46119093821733,PER
11,211.19724262464223,216.6434535101084,PER
12,191.1576341076751,200.06141984919353,PER
13,265.05865171814634,263.78802628252595,RUS
14,299.30319643806484,297.81177579882325,RUS
15,309.7292527260119,309.7809171606107,PER
16,258.0353023649524,270.8712189329426,PER
17,212.3703171062912,205.19970300976536,RUS
18,272.83066645134573,269.04895526438094,RUS
19,302.5760385298415,299.636235191579,RUS
20,315.0144444109668,314.11761927214735,RUS
21,297.90243133968255,302.26232191669186,PER
22,203.24389291450737,220.32338010411104,PER
23,262.578411054966,262.72671548728795,PER
24,298.7500535783575,296.8596659191388,RUS
25,,306.8750016,PER
