Minisector,VER,ALO,Fastest
0,280.7126043615638,290.80753402107933,ALO
1,291.61678321678323,305.6804562229277,ALO
2,295.77252367575755,312.47702570110914,ALO
3,292.2677972050125,293.92639323089946,ALO
4,163.71980491190502,158.50084373981636,VER
5,199.46453687739103,198.14177440293582,VER
6,220.0264831663192,219.17384965874209,VER
7,258.3151546554071,257.6432517507636,VER
8,243.69983588647955,229.69700351492065,VER
9,154.02419859000474,147.56579262113826,VER
10,217.73046449211694,209.55038344679087,VER
11,128.06225870946147,125.31640168895704,VER
12,228.43309584018144,225.25644802225196,VER
13,170.38565360511234,163.98530545089605,VER
14,206.08154480601516,211.18076534731648,ALO
15,224.99169437814936,215.98146842849272,VER
16,254.79309614351826,251.39461524812003,VER
17,280.765125772549,265.72409817468804,VER
18,140.56592095784535,135.63860027427037,VER
19,161.22212289646868,158.41723605591363,VER
20,139.98255576389414,136.3801204891375,VER
21,149.05532816063905,144.8161034015856,VER
22,108.55030472421406,106.51707649606622,VER
23,216.06336578636436,216.14644132344986,ALO
24,262.6701913615111,259.3144325592902,VER
25,274.7053952222577,,VER
