Minisector,NOR,PIA,Fastest
0,317.992055379317,303.07624460720496,NOR
1,145.19702057916,139.22729312674522,NOR
2,220.02452509707592,211.3151119808311,NOR
3,277.2687675911111,271.857040080202,NOR
4,312.99635319338574,310.77629328492367,NOR
5,322.08684035932646,316.29571986989896,NOR
6,155.45122498263842,148.8162437133545,NOR
7,248.87954895817322,239.49448567356248,NOR
8,121.1468650096332,111.55298342737122,NOR
9,147.24194773690155,145.59402002290622,NOR
10,269.7728290332069,271.37785314922735,PIA
11,296.08175321125543,296.18570828556193,PIA
12,263.89632371866423,240.24733224652644,NOR
13,164.91903873261302,156.5602474115704,NOR
14,275.22663232007585,275.07640822352596,NOR
15,308.04799105683117,306.9090427371503,NOR
16,323.3516452774175,322.4794809503934,NOR
17,330.8657168954037,330.456536417741,NOR
18,334.70826187839873,335.66177978666667,PIA
19,338.5611542327122,337.0660802513072,NOR
20,229.00777001714113,213.70641028926133,NOR
21,152.9600900748088,164.06530271309734,PIA
22,275.19917258906617,275.66791866097753,PIA
23,310.308728812977,312.98532694539335,PIA
24,320.5012584676364,325.1967176170522,PIA
25,320.96785645714283,,NOR
