Minisector,BOT,RAI,Fastest
0,278.4121412873231,279.96943692917915,RAI
1,235.97790806313083,237.3685890880026,RAI
2,114.56065697507402,116.10882243382306,RAI
3,193.78989404165344,193.09854381152147,BOT
4,176.0384148615212,180.425647554406,RAI
5,217.64054244174477,217.34015440007988,BOT
6,277.20556493058587,281.8195577751095,RAI
7,295.6850956546151,299.599103790593,RAI
8,184.65186306740569,187.25964105789413,RAI
9,133.69659696489134,130.20662567800798,BOT
10,132.43802928799255,132.46938295818782,RAI
11,190.4663399423852,189.04433038940354,BOT
12,222.43067645117677,224.2261421087629,RAI
13,133.54021159105525,130.56841971667905,BOT
14,156.21380747166646,158.18698141339405,RAI
15,123.53453114153247,121.10831109193964,BOT
16,254.40097374241677,256.8982223458857,RAI
17,147.74928440461937,146.5301063171836,BOT
18,196.43160620761833,197.70336051616746,RAI
19,137.00968545033697,137.15084796096548,RAI
20,150.1911872542947,148.21844681927732,BOT
21,127.10203724850675,126.45335384760816,BOT
22,146.2750168848022,142.28052678359066,BOT
23,223.03220509685636,217.44429604737337,BOT
24,228.38319067197565,230.47488323701455,RAI
25,262.9500010666667,263.04166933333335,RAI
