Minisector,RIC,STR,Fastest
0,247.56920962351936,252.65856504527576,STR
1,208.9585182137211,206.47441989177204,RIC
2,221.4674479990963,217.1891955513527,RIC
3,262.3096340091711,260.8307319552628,RIC
4,276.61933316266663,275.0070869354307,RIC
5,223.6628715538081,221.6988452947603,RIC
6,96.09301438234718,95.97774985264486,RIC
7,185.6173108917934,176.69251735827217,RIC
8,268.8539996586667,264.69207992085745,RIC
9,290.2630434782609,287.14775221753524,RIC
10,298.42777773333336,295.122159030303,RIC
11,298.6994565101449,294.1763141466094,RIC
12,114.38658979985185,141.31124776825396,STR
13,214.47150489462365,213.35950482951554,RIC
14,275.5893108957466,274.30369522031174,RIC
15,296.2479166,293.01156871777613,RIC
16,233.15751995663032,191.30857762184763,RIC
17,125.94698767008678,117.9800938146718,RIC
18,153.3250393073389,155.5948065397339,STR
19,253.4689883526601,253.70796476617465,STR
20,160.87575875324674,148.43402355304144,RIC
21,129.04115869337863,124.77552165220125,RIC
22,205.3181307855498,208.69182852473588,STR
23,216.84697284231402,198.95254037482673,RIC
24,170.94655643206363,162.9975449241048,RIC
