Minisector,OCO,LEC,Fastest
0,298.67734055362706,308.0475050287035,LEC
1,279.92037037037034,290.5237316637681,LEC
2,171.32071414768342,168.06193247342173,OCO
3,199.14393936161616,197.97392825904763,OCO
4,221.73352863025158,219.9937825222742,OCO
5,266.7221666986667,267.92333354666664,LEC
6,226.90827808479096,232.95347208533335,LEC
7,208.11015646666667,203.85050524444446,OCO
8,164.2249009168254,167.59047624325203,LEC
9,173.37051366290598,171.01636276363186,OCO
10,176.1562812631579,175.032537613119,OCO
11,205.06280356979377,200.5772632401368,OCO
12,237.45743996190478,242.9817430063524,LEC
13,164.89841383858985,166.21331882285716,LEC
14,244.28445885440556,245.07492615651745,LEC
15,271.56457141028574,278.58355655873015,LEC
16,265.122487493584,276.73685173710214,LEC
17,257.34221727665727,268.9273333333333,LEC
18,247.7558203823633,254.08799759436545,LEC
19,243.53731703363226,247.2950445403279,LEC
20,258.47500023466665,210.76954858487395,OCO
21,195.48539332387872,168.43458601366575,OCO
22,211.8634175849624,240.25942736242663,LEC
23,273.20523591587664,282.8255435594203,LEC
24,291.6198165904762,299.83928585820104,LEC
