Minisector,HUL,PIA,Fastest
0,253.7697818669815,254.9619102590476,PIA
1,198.9211310412289,213.2678101787586,PIA
2,205.38835494965988,206.73515872122604,PIA
3,247.26924508635824,258.53094671634796,PIA
4,268.5982622708918,274.8113347731997,PIA
5,288.52230628675784,288.1088293728395,HUL
6,152.94040578935858,160.08668733699048,PIA
7,191.6170554084733,181.5114806498819,HUL
8,269.6138771220779,269.82660148040407,PIA
9,298.90265620109176,298.3630834567399,HUL
10,311.5193256164849,309.12340460948303,HUL
11,312.6970849699822,305.9917402369161,HUL
12,107.80315508627415,109.94173232423182,PIA
13,196.75160567536736,197.28960315928575,PIA
14,276.57091574549287,270.89655101985045,HUL
15,309.79870855610113,295.81258333333335,HUL
16,320.6717942404889,294.0525698955267,HUL
17,186.61926010195666,186.174674045,HUL
18,219.2311049545299,223.9647535068132,PIA
19,268.2690751883427,271.1177847552795,PIA
20,152.0700151099131,150.62615529637768,HUL
21,138.9733265563801,145.61782162898953,PIA
22,212.99453362802566,225.63562218114825,PIA
23,220.28325830162566,230.6441106368229,PIA
24,159.70057360866187,157.73401722736702,HUL
