Minisector,ANT,HUL,Fastest
0,310.3627388773109,307.83250756471676,ANT
1,248.57167779381908,246.9282142857143,ANT
2,131.4920157072132,127.47688337372176,ANT
3,214.05998433546785,216.75039285714288,HUL
4,263.5742564028988,261.9404370443476,ANT
5,290.1008911313837,287.40245535714286,ANT
6,305.51770563287175,303.65208333333334,ANT
7,294.0038889382067,303.76447601122914,HUL
8,177.11559730378377,173.18752727272727,ANT
9,235.63396032059487,235.7610755683969,HUL
10,272.0873265780058,270.8424970345295,ANT
11,268.78354600144775,273.68659226190476,HUL
12,208.8095640081001,207.72053744927535,ANT
13,126.6345584499654,127.78372612565782,HUL
14,119.33873400753912,118.68667914770212,ANT
15,163.00089896837926,171.10857280912336,HUL
16,121.00503742222303,120.28697424314255,ANT
17,224.23446998890125,221.18839276461136,ANT
18,188.0511830789156,189.79423393250303,HUL
19,156.05649385027917,152.90390762354463,ANT
20,241.51906792703502,242.14686716791982,HUL
21,273.2269823858628,273.2060884246726,ANT
22,291.43256190431373,292.00417748506237,HUL
23,301.01812498,310.4589285714286,HUL
24,307.02241589270784,319.820030434388,HUL
25,,320.06041653333335,HUL
