Minisector,VER,TSU,Fastest
0,252.26308827875556,249.9235605388006,VER
1,215.57867562410786,211.18241928066485,VER
2,211.740825971447,202.65008363848932,VER
3,259.5883828383216,258.12903644971044,VER
4,274.82538224438673,272.48155281535355,VER
5,288.16955300442544,286.24767900818716,VER
6,165.09836875851852,157.03544502193208,VER
7,167.30768815349,185.40505029541126,TSU
8,265.0246310575469,264.90102113630854,VER
9,291.3144072692917,289.01532914378066,VER
10,302.0975440795767,299.9144135545679,VER
11,300.97999561500814,302.27141357656564,TSU
12,115.75609935368928,112.43219358476598,VER
13,189.33471498828283,196.5453026234537,TSU
14,269.72361757056274,269.6286809074915,VER
15,290.1500854128104,291.36780832608764,TSU
16,296.0570668960401,296.4620109714286,TSU
17,187.8679464246349,176.61088951571674,VER
18,218.10924360691357,222.07888502151675,TSU
19,266.68083733491346,266.18559163336687,VER
20,153.68912325917609,147.09095151157896,VER
21,148.7173577175713,143.64237693780197,VER
22,219.7426151256733,220.8492492307135,TSU
23,237.58366071122154,223.35050411335408,VER
24,162.99287449821276,157.29360849899174,VER
25,226.3249984,,VER
