Minisector,ALB,PER,Fastest
0,264.27373165119076,262.70434319548997,ALB
1,292.99505144761906,293.1993788150591,PER
2,307.7710453877551,309.98395783829596,PER
3,315.5702775466667,321.55972246349205,PER
4,319.96805546666667,328.6579298240325,PER
5,322.5065475809524,332.4982144,PER
6,284.6671908,285.441403,PER
7,118.5776204542497,111.51865333532479,ALB
8,153.4268835435695,148.43960590541852,ALB
9,250.11319253333335,249.4888904888889,ALB
10,287.4196419176743,286.27591205,ALB
11,233.28208177349163,242.53166933024963,PER
12,94.61063759461334,91.95371276103796,ALB
13,111.97311866070065,110.65617607667214,ALB
14,214.60825097835496,214.08646738912543,ALB
15,191.49478474167617,185.39772434330544,ALB
16,225.3277479351636,220.4892852825397,ALB
17,192.21815548571428,188.87878216222109,ALB
18,223.05428681738118,221.45236567582566,ALB
19,271.5123440304646,274.00802008375894,PER
20,287.8656256,290.30501697451865,PER
21,162.93385718562055,154.4662501688889,ALB
22,102.44464803006862,101.33954625582388,ALB
23,123.05620833394396,122.35628855092395,ALB
24,207.36721993571516,204.69546941614905,ALB
