Minisector,LEC,HUL,Fastest
0,275.69574742054283,277.2879976612199,HUL
1,291.71964281904764,295.79495222383616,HUL
2,283.16954050199837,287.46277803495536,HUL
3,183.69745831501723,173.58018159245685,LEC
4,132.3636095535924,132.22859807612173,LEC
5,244.54791234126318,246.74445332076976,HUL
6,284.25273608200115,292.15694028013513,HUL
7,291.5907730458722,292.0070358683039,HUL
8,180.11602958874624,167.798043330569,LEC
9,148.48894267179483,145.80867243679626,LEC
10,256.5864360937956,255.7642619986543,LEC
11,286.96812789016434,289.3744029592057,HUL
12,295.84568996213517,291.3161320402134,LEC
13,284.9867607535482,279.59087985955335,LEC
14,296.59184386359755,301.4414625995043,HUL
15,293.65850116955295,298.2342285673219,HUL
16,262.10332280685594,232.95364753259227,LEC
17,230.24009678451367,222.93694382059132,LEC
18,281.7393229218385,290.07923551029273,HUL
19,300.5841406029279,321.37635932136135,HUL
20,299.9663647584296,325.97392160172376,HUL
21,231.0531324627275,222.0095557934204,LEC
22,262.3698128278824,253.00212019133312,LEC
23,139.39067606047038,139.07202655847763,LEC
24,220.31854382179182,224.70068717826967,HUL
