Minisector,ALO,OCO,Fastest
0,289.46766132155847,286.1433948622222,ALO
1,153.9176030374687,170.5749653581313,OCO
2,173.66972794766082,172.9460212909319,ALO
3,254.8934306973336,256.6998269929845,OCO
4,288.55187093696145,282.05441426813246,ALO
5,247.59232629629628,248.39834896563147,OCO
6,228.28341334857143,226.42246060426305,ALO
7,160.32717017522197,153.10807245235608,ALO
8,228.42307142942497,225.79441086178144,ALO
9,280.0490219270669,277.7653551111011,ALO
10,299.15158646627185,297.24183121964916,ALO
11,307.5644607843137,304.37171513117596,ALO
12,309.82282988888886,308.5372158545455,ALO
13,308.0025999975064,303.5988987050074,ALO
14,131.47350513125363,137.05954872973547,OCO
15,120.78199807310328,120.61808560736782,ALO
16,104.35846471735684,102.64171496567552,ALO
17,233.99370553812244,234.48663299880565,OCO
18,289.92284549761143,283.7026506180499,ALO
19,307.0010875755899,304.67073459012784,ALO
20,315.7688016108392,315.11244048035917,ALO
21,320.3824305422222,317.37571358844673,ALO
22,128.5607928280061,131.04397244128282,OCO
23,200.98294844980248,195.37321184072013,ALO
24,269.1581619198629,267.03413150618917,ALO
25,,280.2989324524259,OCO
