Minisector,SAI,GRO,Fastest
0,268.20942706484635,259.3791192043248,SAI
1,133.71672328771143,128.72508422847875,SAI
2,194.9210848588236,196.3086652655412,GRO
3,248.48418337651947,245.2774095797258,SAI
4,262.5105543356989,257.0794256201351,SAI
5,172.22731021866838,177.046305097312,GRO
6,140.94458327426435,147.92488809125334,GRO
7,178.05889178521505,178.36278195488723,GRO
8,103.71949974301548,99.28945710174101,SAI
9,71.45408065088652,73.0349691290623,GRO
10,94.44920961024344,89.9298562451344,SAI
11,181.21137688485135,167.9624814108037,SAI
12,250.3649190938738,238.67886280303014,SAI
13,273.6130322817229,264.31144387871956,SAI
14,285.67596420660874,279.7603669714286,SAI
15,113.04036410646367,140.51191287264834,GRO
16,145.30723107437635,119.48941478035562,SAI
17,187.26220431044862,199.71622698648778,GRO
18,191.5555493793974,187.49890610922776,SAI
19,208.74813501073584,216.95196103529412,GRO
20,133.53667681684132,140.3075193263194,GRO
21,112.32743222342754,146.20546642922486,GRO
22,92.65256495204001,77.35009028033139,SAI
23,195.0331739531884,170.42793662715593,SAI
24,253.93560955208477,240.29373775986807,SAI
25,,260.9968752,GRO
