Minisector,BOT,ALB,Fastest
0,272.47113383628346,273.54634493718225,ALB
1,289.5086025572501,290.4065238064762,ALB
2,286.65780673867295,289.09102907529603,ALB
3,188.00004671726384,197.63736962882882,ALB
4,126.31801453503714,124.14276575644733,BOT
5,235.3353871788274,238.78231674592934,ALB
6,281.0929320378974,280.44069077942856,BOT
7,293.8378767573548,287.6243590153846,BOT
8,178.26941869057117,188.90065682807017,ALB
9,142.13485302202145,142.40351314991523,ALB
10,249.1919993826871,249.69367511926134,ALB
11,284.7500638192727,284.0734527512381,BOT
12,294.27599991466667,295.93716676266666,ALB
13,279.916849810989,291.0877289084249,ALB
14,295.0950561708967,298.8572155807893,ALB
15,298.97079228603235,299.72215615119904,ALB
16,263.2305111115721,262.9462571482993,BOT
17,226.16044886045074,226.1614927849797,ALB
18,279.7287470181764,279.02692385641024,BOT
19,301.38142373333335,302.3524034066975,ALB
20,307.24019585020216,305.07951373333333,BOT
21,239.40138801777778,237.54434031249863,BOT
22,260.06143120084374,258.08043234285714,BOT
23,136.29288449931354,145.81630430694514,ALB
24,216.11252571937302,205.05967910614322,BOT
25,,254.7958343111111,ALB
