Minisector,NOR,VER,Fastest
0,308.7483833936842,313.0249300945454,VER
1,237.4555419954978,239.11125580060215,VER
2,131.60708444437446,133.00903303351043,VER
3,221.2294575021068,222.07111086814814,VER
4,263.19557973620965,266.98248891241434,VER
5,293.0485408498997,293.5279218346194,VER
6,306.88244428800004,309.1378039595828,VER
7,288.16145854306876,284.4645041756863,NOR
8,173.43759604512823,175.34213218812462,VER
9,231.95171803999997,242.47940252255225,VER
10,274.4481729974026,275.4198399247524,VER
11,273.2396708888889,260.6290446682353,NOR
12,211.98770985165945,210.62384405665324,NOR
13,126.42347701655558,125.22365365256235,NOR
14,117.87658424792463,124.23310225371546,VER
15,169.6493225075132,154.5310910668327,NOR
16,118.69253342520058,125.1701773908224,VER
17,225.2692024204287,230.50624826741605,VER
18,198.59803118814816,181.24206581996842,NOR
19,158.43176916292776,165.92290444947878,VER
20,245.67524404994708,245.13143441955418,NOR
21,274.37428763247027,275.3228839068783,VER
22,291.2295903756254,294.5904530686976,VER
23,301.0652677942857,306.55946489212124,VER
24,306.87479513801935,311.7412202666667,VER
