Minisector,BEA,ALO,Fastest
0,248.33499344511503,248.77384104085237,ALO
1,284.737499952,286.4922116850017,ALO
2,163.11658635676338,163.2409804989399,ALO
3,155.60030850584695,155.3433466268216,BEA
4,254.16620999346995,255.41413012752832,ALO
5,269.83920981349064,269.05824499478257,BEA
6,236.68129568713846,238.6490625093009,ALO
7,200.57628596899573,214.63360422052287,ALO
8,161.37271306781554,158.3602050755025,BEA
9,213.4598570724373,214.15631652082973,ALO
10,268.85081217883237,271.6819629549311,ALO
11,125.43193841721781,127.03962662132072,ALO
12,214.51098850493594,201.31567954301588,BEA
13,276.28775656576966,274.27423502045224,BEA
14,304.30850741507146,295.6355603178182,BEA
15,318.97399746299084,305.99258042573103,BEA
16,226.64574011926248,257.3613213487923,ALO
17,128.54728284878703,128.39144867700637,BEA
18,129.31683207054675,124.69015085781528,BEA
19,121.20050260191799,120.05435873235281,BEA
20,219.7667510691763,215.59774277391915,BEA
21,255.13502366083674,259.021264996139,ALO
22,236.38565684350706,246.74395693788082,ALO
23,216.6855107551736,213.24385496757807,BEA
24,136.98949178723186,134.46023904834416,BEA
25,216.3375008,213.76765904761905,BEA
