Minisector,RUS,TSU,Fastest
0,296.8299523356914,304.0512750248539,TSU
1,305.3689275140773,320.07628303265676,TSU
2,289.29620567741927,306.0425272180451,TSU
3,109.33598616360315,102.46827309730104,RUS
4,234.4234478379149,215.66258339275154,RUS
5,278.69652500116877,278.81261615472596,TSU
6,190.9139797058782,202.10512307230368,TSU
7,164.79157016889536,156.92592147292962,RUS
8,198.86040124285032,203.68267137818958,TSU
9,208.17780702312925,216.36436410115974,TSU
10,123.22095708558824,112.47532121165112,RUS
11,232.11498031705406,220.52473722075786,RUS
12,114.81526393010333,118.24547491148329,TSU
13,225.40718107238095,213.21816076134292,RUS
14,282.00820516087003,271.93227694971426,RUS
15,203.32858975632183,222.77328552936368,TSU
16,195.75788713521968,178.122496135773,RUS
17,241.76213122452106,241.95087851594204,TSU
18,189.45694721733832,196.1233404815392,TSU
19,192.6412152667858,162.81866295636337,RUS
20,267.2674514055032,254.15690550342006,RUS
21,294.50057079920634,286.97365992698576,RUS
22,174.1948901128319,158.96653963950533,RUS
23,217.79843376229272,192.59084625594667,RUS
24,274.3854369567347,267.6076874414317,RUS
25,287.0333340444444,282.5416672,RUS
